stock_code,period,end_date,eps_estimate,revenue_estimate_m,num_analysts
1MZ,+1y,2027-12-31,0.52435,876,3
1MZ,0y,2026-12-31,0.45541,722,3
41O,+1y,2027-09-30,0.069,144,3
41O,0y,2026-09-30,0.06033,130,3
544,+1y,2027-12-31,0.08022,1326,5
544,0y,2026-12-31,0.05675,1159,4
558,+1y,2027-12-31,0.09493,379,6
558,0y,2026-12-31,0.07691,318,6
5E2,+1y,2027-12-31,0.14928,9955,9
5E2,0y,2026-12-31,0.13945,10854,7
5LY,+1y,2027-09-30,0.0105,213,4
5LY,0y,2026-09-30,0.00925,168,4
8AZ,+1y,2027-12-31,0.04385,388,4
8C8U,+1y,2026-12-31,0.06145,144,4
8C8U,0y,2025-12-31,0.07094,125,3
9A4U,+1y,2027-12-31,0.21087,429,6
9A4U,0y,2026-12-31,0.19612,420,6
9CI,+1y,2027-12-31,0.12973,2357,13
9CI,0y,2026-12-31,0.11983,2252,13
A17U,+1y,2027-12-31,0.15835,1736,13
A17U,0y,2026-12-31,0.15127,1651,13
A7RU,+1y,2027-12-31,0.01437,2432,3
A7RU,0y,2026-12-31,0.01437,2376,3
AIY,+1y,2027-12-31,0.48946,689,7
AIY,0y,2026-12-31,0.4,611,6
AJBU,+1y,2027-12-31,0.12362,498,11
AJBU,0y,2026-12-31,0.12096,481,10
AP4,+1y,2027-12-31,0.05219,373,4
AP4,0y,2026-12-31,0.04561,322,4
AWX,+1y,2027-12-31,0.335,830,4
AWX,0y,2026-12-31,0.27225,663,4
BN4,+1y,2027-12-31,0.60199,7713,11
BN4,0y,2026-12-31,0.46354,7188,10
BS6,+1y,2027-12-31,3.04124,40985,8
BS6,0y,2026-12-31,2.76458,36095,8
BSL,+1y,2027-12-31,0.03651,764,7
BSL,0y,2026-12-31,0.0339,736,7
BUOU,+1y,2027-09-30,0.06163,559,8
BUOU,0y,2026-09-30,0.05715,530,8
BVA,+1y,2027-08-31,,4415,16
BVA,0y,2026-08-31,,4074,15
C07,+1y,2027-12-31,2.48816,19476,5
C07,0y,2026-12-31,2.24137,19123,5
C09,+1y,2027-12-31,0.53253,4375,6
C09,0y,2026-12-31,0.48416,3984,5
C2PU,+1y,2027-12-31,0.18576,170,6
C2PU,0y,2026-12-31,0.1821,167,6
C38U,+1y,2027-12-31,0.12285,1814,11
C38U,0y,2026-12-31,0.12026,1734,10
C52,+1y,2027-12-31,0.09595,5411,8
C52,0y,2026-12-31,0.08946,5264,8
C6L,+1y,2028-03-31,0.37605,22312,10
C6L,0y,2027-03-31,0.24798,22098,10
CC3,+1y,2027-12-31,0.04758,2274,9
CC3,0y,2026-12-31,0.02683,2225,7
CJLU,+1y,2028-03-31,0.02248,426,4
CJLU,0y,2027-03-31,0.02249,421,4
D01,+1y,2027-12-31,0.24187,8685,11
D01,0y,2026-12-31,0.21428,8369,11
D05,+1y,2027-12-31,4.43271,25805,14
D05,0y,2026-12-31,4.11017,24041,13
DCRU,+1y,2027-12-31,0.0417,182,3
DCRU,0y,2026-12-31,0.02982,174,3
E28,+1y,2027-12-31,0.12247,991,7
E28,0y,2026-12-31,0.10339,908,7
EB5,+1y,2027-12-31,0.28913,1859,6
EB5,0y,2026-12-31,0.28388,1839,6
F03,+1y,2027-12-31,0.16976,897,10
F03,0y,2026-12-31,0.15178,820,10
F34,+1y,2027-12-31,0.268,81141,9
F34,0y,2026-12-31,0.24032,77189,9
G13,+1y,2027-12-31,0.03805,2620,11
G13,0y,2026-12-31,0.0335,2473,11
G92,+1y,2027-12-31,0.1265,16475,4
G92,0y,2026-12-31,0.10775,16782,4
H22,+1y,2027-12-31,0.247,6602,3
H22,0y,2026-12-31,0.21033,6035,3
H78,+1y,2027-12-31,0.30973,1484,10
H78,0y,2026-12-31,0.26441,1530,10
HMN,+1y,2027-12-31,0.04888,834,6
HMN,0y,2026-12-31,0.04711,803,6
HQU,+1y,2027-12-31,0.11191,830,3
HQU,0y,2026-12-31,0.03161,258,3
ITS,+1y,2027-12-31,0.08973,71,3
ITS,0y,2026-12-31,0.08153,64,3
J36,+1y,2027-12-31,5.89578,33495,9
J36,0y,2026-12-31,5.4015,32018,9
J69U,+1y,2027-09-30,0.11819,424,13
J69U,0y,2026-09-30,0.11855,431,14
J85,+1y,2027-12-31,0.04248,290,8
J85,0y,2026-12-31,0.04075,274,8
JYEU,+1y,2028-06-30,0.03543,253,5
JYEU,0y,2027-06-30,0.03507,245,5
K71U,+1y,2027-12-31,0.04256,328,13
K71U,0y,2026-12-31,0.03985,318,13
M44U,+1y,2028-03-31,0.06145,738,12
M44U,0y,2027-03-31,0.05888,720,9
ME8U,+1y,2028-03-31,0.12046,657,12
ME8U,0y,2027-03-31,0.11996,646,11
MZH,+1y,2027-12-31,0.0422,307,3
MZH,0y,2026-12-31,0.02937,275,3
N2IU,+1y,2028-03-31,0.07868,862,13
N2IU,0y,2027-03-31,0.07761,843,13
NS8U,+1y,2027-12-31,0.10205,12884,3
NS8U,0y,2026-12-31,0.0869,12411,3
NTDU,0y,2027-03-31,0.00352,235,3
O39,+1y,2027-12-31,1.92161,16737,15
O39,0y,2026-12-31,1.79699,15678,14
OU8,+1y,2027-12-31,0.13017,384,6
OU8,0y,2026-12-31,0.11833,358,6
OV8,+1y,2027-12-31,0.11735,1806,9
OV8,0y,2026-12-31,0.11104,1714,9
OXMU,+1y,2027-12-31,0.02933,155,3
OXMU,0y,2026-12-31,0.024,143,3
OYY,+1y,2027-12-31,0.10206,1177,7
