stock_code,publish_date,headline,category,url,is_premium,tag_slug
AWX,2026-03-20,Tan of DBS raises her target price for AEM to $4.30; recent rally has more room to go ,Broker's Calls,https://www.theedgesingapore.com/capital/brokers-calls/tan-dbs-raises-her-target-price-aem-430-recent-rally-has-more-room-go,true,aem
AWX,2024-06-25,AEM Holdings proposes to dispose shares in ATECO for $6.8 mil,Company in the news,https://www.theedgesingapore.com/news/company-news/aem-holdings-proposes-dispose-shares-ateco-68-mil,true,aem
AWX,2023-08-08,"CGS-CIMB downgrades AEM from 'add' to 'reduce', citing slower than expected recovery",Broker's Calls,https://www.theedgesingapore.com/capital/brokers-calls/cgs-cimb-downgrades-aem-add-reduce-citing-slower-expected-recovery,true,aem
AWX,2022-09-05,"UOB Kay Hian adds Nanofilm to its alpha picks portfolio, removes AEM, Venture and CDG",Broker's Calls,https://www.theedgesingapore.com/capital/brokers-calls/uob-kay-hian-adds-nanofilm-its-alpha-picks-portfolio-removes-aem-venture-and,true,aem
AWX,2026-06-08,"AEM, Top Glove, UIBREIT and PC Partner included in iEdge Singapore Next 50 following latest quarterly review",Markets,https://www.theedgesingapore.com/news/markets/aem-top-glove-uibreit-and-pc-partner-included-iedge-singapore-next-50-following-latest,true,aem-holdings
AWX,2026-06-02,Nvidia muscles into PC market with 'superchip' RTX Spark but Tan of DBS maintains 'buy' on AEM for now,Broker's Calls,https://www.theedgesingapore.com/capital/brokers-calls/nvidia-muscles-pc-market-superchip-rtx-spark-tan-dbs-maintains-buy-aem-now,true,aem-holdings
AWX,2026-05-15,AEM crosses $10 mark following wave of higher target prices post 1QFY2026 update,Broker's Calls,https://www.theedgesingapore.com/capital/brokers-calls/aem-crosses-10-mark-following-wave-higher-target-prices-post-1qfy2026-update,true,aem-holdings
AWX,2026-05-14,AEM jumps again following 1QFY2026 results; DBS raises target price to $11.80,Broker's Calls,https://www.theedgesingapore.com/capital/brokers-calls/aem-jumps-again-following-1qfy2026-results-dbs-raises-target-price-1180,true,aem-holdings
AWX,2026-05-13,AEM's 1QFY2026 earnings surge 329.4% y-o-y,Results,https://www.theedgesingapore.com/capital/results/aems-1qfy2026-earnings-surge-3294-y-o-y,true,aem-holdings
AWX,2026-05-03,JP Morgan takes some profit in AEM Holdings following substantial stake build up,Insider moves,https://www.theedgesingapore.com/capital/insider-moves/jp-morgan-takes-some-profit-aem-holdings-following-substantial-stake-build,true,aem-holdings
AWX,2026-04-30,Dire Straits hasn’t stopped the flow of Money for Nothing,Global Markets,https://www.theedgesingapore.com/views/global-markets/dire-straits-hasnt-stopped-flow-money-nothing,true,aem-holdings
AWX,2026-04-27,"Citing start of multi-year earnings growth cycle, CGS International's Tng doubles AEM's target price to $10.15",Broker's Calls,https://www.theedgesingapore.com/capital/brokers-calls/citing-start-multi-year-earnings-growth-cycle-cgs-internationals-tng-doubles,true,aem-holdings
AWX,2026-04-02,Beyond Intel: AEM’s next chapter is taking shape,Semiconductor,https://www.theedgesingapore.com/views/semiconductor/beyond-intel-aems-next-chapter-taking-shape,true,aem-holdings
AWX,2026-03-23,Taiwan's ASE to invest $12 mil in AEM via placement at $3.591 each,Semiconductor,https://www.theedgesingapore.com/news/semiconductor/taiwans-ase-invest-12-mil-aem-placement-3591-each,true,aem-holdings
A34,2026-05-15,Amara modernises for tomorrow’s traveller,Hospitality,https://www.theedgesingapore.com/cityandcountry/hospitality/amara-modernises-tomorrows-traveller,true,amara-holdings
A34,2025-07-18,Entity backed by Teo family and Wing Tai completes compulsory acquisition of Amara Holdings,Offer,https://www.theedgesingapore.com/news/offer/entity-backed-teo-family-and-wing-tai-completes-compulsory-acquisition-amara-holdings,true,amara-holdings
A34,2025-07-08,Amara Holdings receives approval from SGX to delist,Offer,https://www.theedgesingapore.com/news/offer/amara-holdings-receives-approval-sgx-delist,true,amara-holdings
A34,2025-05-27,W Capital declares offer for Amara Holdings fair and reasonable,Offer,https://www.theedgesingapore.com/news/offer/w-capital-declares-offer-amara-holdings-fair-and-reasonable,true,amara-holdings
A34,2025-05-16,Amara loses free float; offer declared unconditional,Offer,https://www.theedgesingapore.com/news/offer/amara-loses-free-float-offer-declared-unconditional,true,amara-holdings
A34,2025-05-07,Amara Holdings appoints W Capital Markets as independent financial adviser for privatisation offer,Delistings,https://www.theedgesingapore.com/news/delistings/amara-holdings-appoints-w-capital-markets-independent-financial-adviser,true,amara-holdings
A34,2025-04-28,"Amara Holdings receives 89.5 cents per share general offer from chairman Teo, Wing Tai, Hwa Hong and Newfields",Offer,https://www.theedgesingapore.com/news/offer/amara-holdings-receives-895-cents-share-general-offer-chairman-teo-wing-tai-hwa-hong-and,true,amara-holdings
A34,2025-04-07,Amara's second 'Local Legends' collaboration with chef Damian D'Silva,Dine in,https://www.theedgesingapore.com/options/dine/amaras-second-local-legends-collaboration-chef-damian-dsilva,true,amara-holdings
A34,2024-06-03,Amara Holdings appoints Dawn Teo as its COO,New appointments,https://www.theedgesingapore.com/news/new-appointments/amara-holdings-appoints-dawn-teo-its-coo,true,amara-holdings
A34,2024-01-02,Amara Holdings extends offer closing date to Jan 16,Offer,https://www.theedgesingapore.com/news/offer/amara-holdings-extends-offer-closing-date-jan-16,true,amara-holdings
XZL,2024-08-07,"ARA US Hospitality Trust posts DPS of 0.747 US cents DPS for 1HFY2024, down 50.2% y-o-y on higher financing costs",Results,https://www.theedgesingapore.com/capital/results/ara-us-hospitality-trust-posts-dps-0747-us-cents-dps-1hfy2024-down-502-y-o-y-higher,true,ara-us-hospitality-trust
XZL,2024-05-27,Gordon and Celine Tang to acquire manager of ARA US Hospitality Trust,REITs,https://www.theedgesingapore.com/news/reits/gordon-and-celine-tang-acquire-manager-ara-us-hospitality-trust,true,ara-us-hospitality-trust
XZL,2022-02-23,"ARA US Hospitality Trust announces DPU, plans selective divestment ",Results,https://www.theedgesingapore.com/capital/results/ara-us-hospitality-trust-announces-dpu-plans-selective-divestment,true,ara-us-hospitality-trust
XZL,2021-08-26,"Broker's Digest: Golden Energy and Resources, Genting Singapore, First Resources, Megachem, ARA US Hospitality Trust",Broker's Calls,https://www.theedgesingapore.com/capital/brokers-calls/brokers-digest-golden-energy-and-resources-genting-singapore-first-resources,true,ara-us-hospitality-trust
XZL,2021-06-04,"Recovery unlikely for Eagle Hospitality Trust's investors, as ARA H-Trust navigates Covid successfully",REITs,https://www.theedgesingapore.com/capital/reits/recovery-unlikely-eagle-hospitality-trusts-investors-ara-h-trust-navigates-covid,true,ara-us-hospitality-trust
XZL,2021-01-07,'Ready to fly' once travel resumes: DBS on ARA US Hospitality Trust,Broker's Calls,https://www.theedgesingapore.com/capital/brokers-calls/ready-fly-once-travel-resumes-dbs-ara-us-hospitality-trust,true,ara-us-hospitality-trust
XZL,2020-05-08,NAV may be better benchmark as REITs cut DPU ,REITs,https://www.theedgesingapore.com/capital/reits/nav-may-be-better-benchmark-reits-cut-dpu,true,ara-us-hospitality-trust
XZL,2020-04-17,Time to check out of hospitality trusts ,REITs,https://www.theedgesingapore.com/capital/reits/time-check-out-hospitality-trusts,true,ara-us-hospitality-trust
XZL,2020-02-28,"Covid-19 fallout hits hospitality trusts, retail ",REITs,https://www.theedgesingapore.com/capital/reits/covid-19-fallout-hits-hospitality-trusts-retail,true,ara-us-hospitality-trust
XZL,2020-02-21,US hospitality trusts face headwinds as fundamentals deteriorate,REITs,https://www.theedgesingapore.com/news/reits/us-hospitality-trusts-face-headwinds-fundamentals-deteriorate,true,ara-us-hospitality-trust
8AZ,2026-07-31,"Broker's Digest: Aztech Global, Raffles Medical, YZJ Shipbuilding, HPH Trust, iFAST, SGX, Singtel",Broker's Calls,https://www.theedgesingapore.com/capital/brokers-calls/brokers-digest-aztech-global-raffles-medical-yzj-shipbuilding-hph-trust-ifast,true,aztech-global
8AZ,2026-07-29,Cheong of UOBKH downgrades Aztech to 'hold' with softer second half,Broker's Calls,https://www.theedgesingapore.com/capital/brokers-calls/cheong-uobkh-downgrades-aztech-hold-softer-second-half,true,aztech-global
8AZ,2026-07-28,"Aztech reports 1HFY2026 earnings of $9.4 mil, down 41.7%; warns of 'softer' second half",Results,https://www.theedgesingapore.com/capital/results/aztech-reports-1hfy2026-earnings-94-mil-down-417-warns-softer-second-half,false,aztech-global
8AZ,2026-05-08,Aztech Global gains favour with wider customer base,Investing ideas,https://www.theedgesingapore.com/capital/investing-ideas/aztech-global-gains-favour-wider-customer-base,true,aztech-global
8AZ,2026-04-28,Aztech Global’s 1QFY2026 earnings up 166.7% y-o-y to $4 mil; secures six new project orders,Results,https://www.theedgesingapore.com/capital/results/aztech-globals-1qfy2026-earnings-1667-y-o-y-4-mil-secures-six-new-project-orders,true,aztech-global
8AZ,2025-10-24,"Broker's digest: StarHub, Aztech Global, OCBC, Centurion Corp, CSE Global",Broker's Calls,https://www.theedgesingapore.com/capital/brokers-calls/brokers-digest-starhub-aztech-global-ocbc-centurion-corp-cse-global,true,aztech-global
8AZ,2025-10-16,DBS and CGS International maintain ‘hold’ on Aztech Global,Broker's Calls,https://www.theedgesingapore.com/capital/brokers-calls/dbs-and-cgs-international-maintain-hold-aztech-global,true,aztech-global
8AZ,2025-10-15,Aztech Global's 3QFY2025 earnings down 21.2% y-o-y; secures more orders from broader customer base,Results,https://www.theedgesingapore.com/capital/results/aztech-globals-3qfy2025-earnings-down-212-y-o-y-secures-more-orders-broader-customer,true,aztech-global
8AZ,2025-08-14,Aztech Global leads AI-driven IoT charge,SGX Research Series: 10 in 10,https://www.theedgesingapore.com/news/sgx-research-series-10-10/aztech-global-leads-ai-driven-iot-charge,false,aztech-global
8AZ,2025-08-06,"UOBKH stays ‘overweight’ on S’pore tech, singles out Frencken, UMS and Valuetronics as top picks",Broker's Calls,https://www.theedgesingapore.com/capital/brokers-calls/uobkh-stays-overweight-spore-tech-singles-out-frencken-ums-and-valuetronics,true,aztech-global
CGN,2024-04-03,Best World makes $2.50 selective capital reduction offer to privatise company,Company in the news,https://www.theedgesingapore.com/news/company-news/best-world-makes-250-selective-capital-reduction-offer-privatise-company,true,best-world-international
CGN,2024-04-02,"EGM requisition withdrawn, says Best World",Company in the news,https://www.theedgesingapore.com/news/company-news/egm-requisition-withdrawn-says-best-world,true,best-world-international
CGN,2024-03-23,Best World's founders want EGM to delist company; other shareholders want EGM over cash and dividend,Delistings,https://www.theedgesingapore.com/news/delistings/best-worlds-founders-want-egm-delist-company-other-shareholders-want-egm-over-cash,true,best-world-international
CGN,2024-02-28,Best World’s 4QFY2023 earnings down 15.2% y-o-y to $40.4 million,Results,https://www.theedgesingapore.com/capital/results/best-worlds-4qfy2023-earnings-down-152-y-o-y-404-million,true,best-world-international
CGN,2023-10-06,Best World says it has given $140 mil back to shareholders during trading suspension period,Company in the news,https://www.theedgesingapore.com/news/company-news/best-world-says-it-has-given-140-mil-back-shareholders-during-trading-suspension,true,best-world-international
CGN,2022-11-30,Japan Foods embarks on share buybacks; Best World resumes trading and buybacks,Insider moves,https://www.theedgesingapore.com/capital/insider-moves/japan-foods-embarks-share-buybacks-best-world-resumes-trading-and-buybacks,true,best-world-international
CGN,2022-11-01,"Best World shares to resume trading on Nov 14, nearly four years after trading was suspended",Company in the news,https://www.theedgesingapore.com/news/company-news/best-world-shares-resume-trading-nov-14-nearly-four-years-after-trading-was,true,best-world-international
CGN,2022-10-05,"SGX RegCo has ""no objection"" to trading resumption of Best World shares",Company in the news,https://www.theedgesingapore.com/news/company-news/sgx-regco-has-no-objection-trading-resumption-best-world-shares,true,best-world-international
