stock_code,currency
1J5,SGD
1MZ,MYR
1R6,SGD
41O,SGD
544,SGD
558,SGD
5E2,SGD
5GD,CNY
5LY,SGD
5TP,USD
8AZ,SGD
8C8U,SGD
9A4U,SGD
9CI,SGD
A17U,SGD
A7RU,SGD
AIY,SGD
AJBU,SGD
AP4,MYR
AU8U,SGD
AWX,SGD
BN4,SGD
BS6,CNY
BSL,SGD
BTOU,USD
BUOU,SGD
BVA,MYR
C07,USD
C09,SGD
C2PU,SGD
C38U,SGD
C52,SGD
C6L,SGD
CC3,SGD
CJLU,SGD
CY6U,SGD
D01,USD
D05,SGD
DCRU,USD
DU4,THB
E28,SGD
E3B,SGD
E5H,USD
EB5,USD
F03,USD
F34,USD
G07,SGD
G13,SGD
G92,USD
H02,SGD
H22,SGD
H78,USD
HMN,SGD
HQU,MYR
I07,SGD
J36,USD
J69U,SGD
J85,SGD
JYEU,SGD
K71U,SGD
M44U,SGD
ME8U,SGD
MZH,SGD
N2IU,SGD
NIO,CNY
NS8U,HKD
NTDU,USD
O39,SGD
O5RU,SGD
OU8,SGD
OV8,SGD
OXMU,USD
OYY,SGD
P34,USD
P40U,SGD
P8Z,IDR
QES,CNY
RE4,USD
S08,SGD
S56,USD
S58,SGD
S59,SGD
S63,SGD
S68,SGD
T6I,SGD
T82U,SGD
U10,SGD
U11,SGD
U14,SGD
U96,SGD
UIBU,SGD
ULG,USD
V03,SGD
VC2,SGD
Y92,THB
Z25,CNY
Z59,USD
Z74,SGD
