stock_code,company_name,date,notice_type,title,url
D05,DBS GROUP HOLDINGS LTD,2026-05-21,director,Disclosure of director's interest,https://links.sgx.com/1.0.0/corporate-announcements/13VZXBO6JFV6IB3N/33fb385d0da259764acfc22eaacd46bac05a3f727586b2fb26b729079c3c4279
D05,DBS GROUP HOLDINGS LTD,2026-05-18,director,Disclosure of director's interest,https://links.sgx.com/1.0.0/corporate-announcements/EWKHCGT64MWJ9LG7/836e22d1c238b3a1fd45a0883ebe15b523cbbd0ddfdaa33c9a1abaaf94102c55
D05,DBS GROUP HOLDINGS LTD,2026-04-21,director,Disclosure of director's interest,https://links.sgx.com/1.0.0/corporate-announcements/BRIDEUIJT8I1NC4S/84668af51bad1d970842bfc2d019bdaa92a512e70d5232122917e295c33d7f82
D05,DBS GROUP HOLDINGS LTD,2026-04-06,director,Disclosure of director's interest,https://links.sgx.com/1.0.0/corporate-announcements/EPRIGOX6FW4XDXTN/4ce52fcf99e04d6893019a82aa3bbbb792776f995294c863be2301c70d46425f
D05,DBS GROUP HOLDINGS LTD,2026-04-06,director,Disclosure of director's interest,https://links.sgx.com/1.0.0/corporate-announcements/L8Q02GRA5SWU26SQ/84d7d41e9acf6e524c45b39ba1e435130e0b9e24f079c1def46058b522fda083
D05,DBS GROUP HOLDINGS LTD,2026-04-06,director,Disclosure of director's interest,https://links.sgx.com/1.0.0/corporate-announcements/2VZF3GISIWTMGP3P/aa061202617f3fafe0df34cc3a8241c2b7a9fb2fcb77107497b023f0f111affe
O39,OVERSEA-CHINESE BANKING CORPORATION LIMITED,2026-06-19,director,Disclosure of Interest/Changes in Interest of Chief Executive Officer,https://links.sgx.com/1.0.0/corporate-announcements/9ROZ9WX9I0JG8SRW/dc59a295af13318bb8da0fc572336c929d892e4f526e498e8e50fe4556187c84
U11,UNITED OVERSEAS BANK LIMITED,2019-05-10,director,Disclosure of Change in Director's Interest,https://links.sgx.com/1.0.0/corporate-announcements/EWKHCGT64MWJ9LG7/791936ca7a16cad3a9ff6dd44b30d9a704b02b2e1b4510fcb32c9a2b9138eb6a
Z74,SINGAPORE TELECOMMUNICATIONS LIMITED,2026-06-23,director,Director's Interest in Securities,https://links.sgx.com/1.0.0/corporate-announcements/K4OUJOR5ER5DTD4Z/0716bbbcec894cf30883596c3d0f30435eb0408fbe30fba6c3310d893a1f74ac
Z74,SINGAPORE TELECOMMUNICATIONS LIMITED,2026-06-11,director,Director's Interest in Securities,https://links.sgx.com/1.0.0/corporate-announcements/9SJ609F0J3AKVRQZ/dd702be92181ae1561eb44cea78dcef70bbaa7240bd5ef49e34f984f4cd2c514
Z74,SINGAPORE TELECOMMUNICATIONS LIMITED,2026-06-10,director,Director's Interest in Securities,https://links.sgx.com/1.0.0/corporate-announcements/XCBRZOJFNFWOJ8KT/50f941a7ccaa84bbacbcf842f63c743876ad4a6f3b953f055195a93dc2fd4e01
Z74,SINGAPORE TELECOMMUNICATIONS LIMITED,2026-06-02,director,Director's Interest in Securities,https://links.sgx.com/1.0.0/corporate-announcements/3MOZ7MHOEX5174OS/af4eeecc825bd5d0a50378553f5bbe0ec2a0733db9b8d40676b55ad939f1983e
Z74,SINGAPORE TELECOMMUNICATIONS LIMITED,2026-05-26,substantial_shareholder,Substantial Shareholders' Interest in Securities,https://links.sgx.com/1.0.0/corporate-announcements/JL3SWH5PJWF7WIFU/74b3a635cc413af9278d17c0c2b93a3ae0d373abc595010970b76fb06f12d74c
Z74,SINGAPORE TELECOMMUNICATIONS LIMITED,2026-05-08,substantial_shareholder,Substantial Shareholders' Interest in Securities,https://links.sgx.com/1.0.0/corporate-announcements/IDYKWH0GD14KIGIS/1d737ef365a8f4f45e1e199e9efde89279026837c1256639110859de580e72c1
Z74,SINGAPORE TELECOMMUNICATIONS LIMITED,2025-08-27,director,Director's Interest in Securities,https://links.sgx.com/1.0.0/corporate-announcements/9CF3BHF23HCJNOOF/12866c4d76bbd2b5da273f9b1a21ebc1d621fec1423cbfc58f3205035a3062f6
Z74,SINGAPORE TELECOMMUNICATIONS LIMITED,2025-08-27,director,Director's Interest in Securities,https://links.sgx.com/1.0.0/corporate-announcements/5Q6FG5BKGSRQOYPE/951ef48878281fa84949fd3f09c2e84f9cb6b0e91dca22af8614f2a7e19b85cb
Z74,SINGAPORE TELECOMMUNICATIONS LIMITED,2025-08-27,director,Director's Interest in Securities,https://links.sgx.com/1.0.0/corporate-announcements/M9QOCHUYB7I5A0D7/cb2822abdc84b56ba769f4f793b7c2fdb2608241be23b1460867b0653f2891b5
Z74,SINGAPORE TELECOMMUNICATIONS LIMITED,2025-08-27,director,Director's Interest in Securities,https://links.sgx.com/1.0.0/corporate-announcements/F282L12YXI1IMB45/d6a19d7095990588055bc03ca384cca05c5756fc52e8cb6cae05eb9d4dfbad1e
Z74,SINGAPORE TELECOMMUNICATIONS LIMITED,2025-08-27,director,Director's Interest in Securities,https://links.sgx.com/1.0.0/corporate-announcements/RX0753UWTE6BWMGK/600ce84b371447b53b6f076c39bcfc35c544aef841cf9f2fd05337cb8b6e53ad
Z74,SINGAPORE TELECOMMUNICATIONS LIMITED,2025-08-27,director,Director's Interest in Securities,https://links.sgx.com/1.0.0/corporate-announcements/DT6J1VYR7W52L9C3/ab8f6a147a93a357c734781fc5e54e945d86e9bbbbd7af89c8ab58de811a9f2c
