stock_code,shares_outstanding
1MZ,401110172
1R6,171046041
41O,435607470
544,729242588
558,887503019
5E2,3388739489
5GD,821413198
5LY,3914148000
5TP,405289100
5UL,523512144
8AZ,771793545
8C8U,1724965000
8YZ,3489088520
9A4U,805035067
9CI,4993531347
A17U,4995214537
A31,3683375063
A7RU,6086347124
AIY,304746429
AJBU,2446173860
AP4,1482168100
AWX,319547710
BEI,53244997
BN4,1802163961
BS6,3935589220
BUOU,3801261635
BVA,8018106183
C07,395236288
C09,893401730
C2PU,652653113
C38U,7879748311
C52,2167438506
C6L,3150884285
CC3,1725990282
CJLU,3896971100
CY6U,1486916486
D01,1354071879
D05,2837638809
DCRU,1304009914
DM0,545296946
E28,429328409
E3B,919245086
E5H,12681673056
EB5,1548040769
ER0,569735645
F03,660774678
F34,6242898806
F9D,504723796
G07,503030110
G13,12088072474
G92,860183628
H02,221368173
H22,798141318
H78,2138256426
HMN,3846356339
HQU,429000000
I07,453402040
ITS,258000000
J36,294398676
J69U,2037824146
JYEU,3327029297
K71U,4967343572
M44U,5119896749
ME8U,2855003431
MZH,652376586
N2IU,5284369726
NIO,2357167022
NTDU,1033950746
O39,4489728475
O5RU,823694402
OU8,840778624
OV8,1503537000
OYY,740000000
P8Z,1734144044
PCT,387883668
QES,953382800
RE4,1781573526
S08,2252423243
S58,1486415987
S59,1121721601
S63,3119804988
S68,1070680977
T6I,946948861
T82U,2955540288
U10,984188239
U11,1651648991
U14,846595232
U96,1780190258
UIBU,1365872800
ULG,1102454500
V03,287529877
VC2,3771149185
Y3D,2320294050
Y92,25131686143
YF8,3480450520
Z74,163689256221J5,308908742
40T,575700552
5WH,1357440921
A50,26443616207
BQD,304181353
AU8U,1757150191
BKW,236833573
BQF,109643921
BSL,1840190875
BTOU,1776565421
C41,165578415
CMOU,1044450254
DU4,1890743190
H15,530774951
J85,1273011283
NS8U,8711101022
OXMU,1437458171
P34,611157000
P40U,2321011873
Q01,575268440
R14,3800860188
S56,538038199
TS0U,5529996355
XZL,580102394
Z25,1931535376
Z59,2388504260
1J5,308908742
