stock_code,snapshot_date,last_price,total_volume_000,short_sell_volume_000,short_sell_pct,short_sell_value_sgd_000,avg_short_sell_price,source_list
558,2026-07-08,2.470,9664.2,3063.8,31.7,7678.7,2.506,by_value
F34,2026-07-08,3.790,6701.0,1546.8,23.1,5831.9,3.770,by_value
AW9U,2026-07-08,0.225,1730.7,1308.5,75.6,294.7,0.225,by_volume
DCRU,2026-07-08,USD 0.510,3692.5,1621.0,43.9,1079.1,0.515,by_volume
E3B,2026-07-08,0.630,2506.4,923.4,36.8,585.6,0.634,by_volume
E5H,2026-07-08,0.270,7058.1,3318.6,47.0,896.0,0.270,by_volume
F17,2026-07-08,2.190,105.2,39.9,37.9,88.0,2.206,by_volume
H30,2026-07-08,0.915,245.6,119.8,48.8,110.2,0.920,by_volume
NS8U,2026-07-08,USD 0.181,3725.6,1718.1,46.1,399.2,0.180,by_volume
VC2,2026-07-08,1.190,4153.1,1580.9,38.1,1896.7,1.200,by_volume
ZQM,2026-07-08,0.660,119.5,80.2,67.1,53.9,0.672,by_volume
T82U,2026-07-14,1.500,9135.0,3439.8,37.7,5117.5,1.488,by_value
U14,2026-07-14,9.390,2211.7,890.0,40.2,8434.1,9.476,by_value
V03,2026-07-14,16.810,630.0,349.8,55.5,5871.1,16.784,"by_value,by_volume"
544,2026-07-14,1.170,8741.2,3518.4,40.3,4182.6,1.189,by_volume
5DD,2026-07-14,2.750,95.0,44.2,46.5,123.8,2.800,by_volume
8YZ,2026-07-14,0.555,6410.1,2600.8,40.6,1450.2,0.558,by_volume
A04,2026-07-14,0.295,954.0,408.9,42.9,122.7,0.300,by_volume
C52,2026-07-14,1.350,3279.0,1532.1,46.7,2064.0,1.347,by_volume
S56,2026-07-14,0.960,268.6,152.8,56.9,145.6,0.953,by_volume
8C8U,2026-07-21,1.120,2539.1,1581.7,62.3,1772.9,1.121,by_volume
P40U,2026-07-21,0.550,692.7,385.2,55.6,211.8,0.550,by_volume
AIY,2026-07-28,9.030,3194.7,807.6,25.3,7418.5,9.186,value
AWX,2026-07-28,8.790,4024.8,1229.6,30.6,10711.4,8.711,value
9A4U,2026-07-28,2.480,646.5,282.2,43.7,697.1,2.470,volume
A7RU,2026-07-28,0.535,10185.7,5128.2,50.3,2748.6,0.536,volume
BVA,2026-07-28,0.200,738.9,300.1,40.6,61.5,0.205,volume
EB5,2026-07-28,3.580,1649.7,672.5,40.8,2409.3,3.583,volume
F9D,2026-07-28,2.080,169.0,68.2,40.4,141.7,2.077,volume
JYEU,2026-07-28,0.580,1927.4,787.3,40.8,455.2,0.578,volume
P7VU,2026-07-28,0.250,577.1,400.0,69.3,100.0,0.250,volume
5E2,2026-08-04,2.230,34982.6,2990.2,8.5,6614.1,2.212,value
BS6,2026-08-04,3.990,16919.3,4679.8,27.7,18579.1,3.970,value
C38U,2026-08-04,2.490,29734.0,10654.2,35.8,26377.3,2.476,value
C6L,2026-08-04,7.700,4710.2,1330.1,28.2,10226.0,7.688,value
D05,2026-08-04,74.450,3322.9,295.9,8.9,21964.6,74.236,value
K71U,2026-08-04,0.910,40063.1,8418.1,21.0,7708.3,0.916,value
O39,2026-08-04,28.870,6583.5,1840.5,28.0,53351.7,28.988,value
S63,2026-08-04,10.160,4792.5,1485.4,31.0,15050.2,10.132,value
S68,2026-08-04,24.200,1938.5,392.8,20.3,9507.2,24.203,value
U11,2026-08-04,43.040,3987.9,692.4,17.4,29765.7,42.989,value
U96,2026-08-04,5.570,4631.9,1560.2,33.7,8647.9,5.543,value
Z74,2026-08-04,4.400,25683.6,6223.5,24.2,27364.5,4.397,value
9CI,2026-08-04,2.660,8808.0,5587.7,63.4,14812.1,2.651,value+volume
A17U,2026-08-04,2.550,21525.0,8518.5,39.6,21745.3,2.553,value+volume
AJBU,2026-08-04,2.200,15431.9,6507.7,42.2,14337.5,2.203,value+volume
BN4,2026-08-04,11.210,6033.7,3669.1,60.8,41209.4,11.231,value+volume
G13,2026-08-04,0.635,27341.3,15548.8,56.9,9870.3,0.635,value+volume
J36,2026-08-04,65.180,316.1,157.9,50.0,13193.3,65.084,value+volume
M44U,2026-08-04,1.230,25206.3,12655.5,50.2,15555.1,1.229,value+volume
N2IU,2026-08-04,1.320,15745.1,5892.2,37.4,7750.0,1.315,value+volume
BSL,2026-08-04,0.885,5469.8,2115.8,38.7,1858.7,0.878,volume
C07,2026-08-04,28.250,330.9,141.5,42.8,3990.8,28.203,volume
C09,2026-08-04,7.840,1467.6,732.1,49.9,5724.3,7.819,volume
CJLU,2026-08-04,1.010,8188.7,4298.1,52.5,4316.3,1.004,volume
CY6U,2026-08-04,1.050,4481.2,1692.8,37.8,1793.3,1.059,volume
ME8U,2026-08-04,1.930,7081.2,2700.3,38.1,5188.7,1.922,volume
OV8,2026-08-04,3.260,4654.4,1984.6,42.6,6512.5,3.282,volume
S08,2026-08-04,0.340,2443.4,1819.8,74.5,619.8,0.341,volume
S59,2026-08-04,3.150,1202.8,703.9,58.5,2202.3,3.129,volume
TS0U,2026-08-04,0.350,6799.3,3180.9,46.8,1119.6,0.352,volume
U06,2026-08-04,3.410,123.0,46.1,37.5,155.8,3.380,volume
Y92,2026-08-04,0.460,22054.2,10174.2,46.1,4696.3,0.462,volume
5E2,2026-08-18,2.150,14239.5,3372.8,23.7,7264.9,2.154,by_value
9CI,2026-08-18,2.670,12524.9,4683.6,37.4,12584.4,2.687,by_value
A17U,2026-08-18,2.430,12815.8,6706.9,52.3,16310.2,2.432,by_value
AJBU,2026-08-18,2.230,16079.0,5129.3,31.9,11451.3,2.233,by_value
AWX,2026-08-18,9.960,4710.1,690.1,14.7,7022.5,10.176,by_value
BN4,2026-08-18,11.320,3491.5,1535.2,44.0,17453.9,11.369,by_value
C38U,2026-08-18,2.390,35539.6,14433.8,40.6,34437.5,2.386,by_value
C6L,2026-08-18,7.010,5424.3,1420.3,26.2,9980.0,7.027,by_value
D05,2026-08-18,75.720,3225.6,974.7,30.2,73926.8,75.846,by_value
F34,2026-08-18,3.700,7619.0,2121.3,27.8,7787.3,3.671,by_value
G13,2026-08-18,0.670,64816.0,37584.1,58.0,24889.6,0.662,by_value
H78,2026-08-18,USD 8.330,1808.8,819.9,45.3,8801.5,8.387,by_value
