week_start,report_week,side,direction,rank,stock_name,stock_code,value_sgd_m
2023-07-03,3 July 2023,institutional,buy,1,Wilmar International,F34,10.907626
2023-07-03,3 July 2023,institutional,buy,2,Seatrium,S51,9.946991899999999
2023-07-03,3 July 2023,institutional,buy,3,Singtel,Z74,6.499079099999999
2023-07-03,3 July 2023,institutional,buy,4,ComfortDelGro,C52,6.478717
2023-07-03,3 July 2023,institutional,buy,5,SIA,C6L,4.92775
2023-07-03,3 July 2023,institutional,buy,6,City Developments,C09,4.763588
2023-07-03,3 July 2023,institutional,buy,7,Hongkong Land,H78,3.9673436641
2023-07-03,3 July 2023,institutional,buy,8,Thai Beverage,Y92,3.185471
2023-07-03,3 July 2023,institutional,buy,9,Keppel REIT,K71U,2.9044315
2023-07-03,3 July 2023,institutional,buy,10,Jardine Cycle & Carriage,C07,2.883908
2023-07-03,3 July 2023,institutional,sell,1,DBS,D05,-44.768036
2023-07-03,3 July 2023,institutional,sell,2,OCBC,O39,-16.766843
2023-07-03,3 July 2023,institutional,sell,3,Sembcorp Industries,U96,-15.868633
2023-07-03,3 July 2023,institutional,sell,4,UOB,U11,-15.338849
2023-07-03,3 July 2023,institutional,sell,5,Mapletree Industrial Trust,ME8U,-7.950633
2023-07-03,3 July 2023,institutional,sell,6,Keppel Corporation,BN4,-7.882136
2023-07-03,3 July 2023,institutional,sell,7,CapitaLand Investment,9CI,-7.653137
2023-07-03,3 July 2023,institutional,sell,8,CapitaLand Ascendas REIT,A17U,-7.462851
2023-07-03,3 July 2023,institutional,sell,9,CapitaLand Integrated Commercial Trust,C38U,-5.624106
2023-07-03,3 July 2023,institutional,sell,10,Frasers Logistics & Commercial Trust,BUOU,-5.103684
2023-07-03,3 July 2023,retail,buy,1,DBS,D05,77.457469
2023-07-03,3 July 2023,retail,buy,2,OCBC,O39,58.52264
2023-07-03,3 July 2023,retail,buy,3,UOB,U11,30.225133
2023-07-03,3 July 2023,retail,buy,4,Keppel Corporation,BN4,13.107856
2023-07-03,3 July 2023,retail,buy,5,Venture Corporation,V03,12.814781
2023-07-03,3 July 2023,retail,buy,6,CapitaLand Integrated Commercial Trust,C38U,12.281079
2023-07-03,3 July 2023,retail,buy,7,SGX,S68,8.947694
2023-07-03,3 July 2023,retail,buy,8,CapitaLand Investment,9CI,8.09303
2023-07-03,3 July 2023,retail,buy,9,Singtel,Z74,6.914113100000001
2023-07-03,3 July 2023,retail,buy,10,Genting Singapore,G13,4.9923625
2023-07-03,3 July 2023,retail,sell,1,SIA,C6L,-14.678324
2023-07-03,3 July 2023,retail,sell,2,Wilmar International,F34,-14.242433
2023-07-03,3 July 2023,retail,sell,3,ComfortDelGro,C52,-5.962989
2023-07-03,3 July 2023,retail,sell,4,Keppel REIT,K71U,-4.3739835
2023-07-03,3 July 2023,retail,sell,5,Seatrium,S51,-4.235375000000002
2023-07-03,3 July 2023,retail,sell,6,SATS,S58,-3.292324
2023-07-03,3 July 2023,retail,sell,7,Nio,NIO,-2.30802750196
2023-07-03,3 July 2023,retail,sell,8,Riverstone,AP4,-2.108305
2023-07-03,3 July 2023,retail,sell,9,Datapulse Technology,BKW,-1.863506135
2023-07-03,3 July 2023,retail,sell,10,ESR-LOGOS REIT,J91U,-1.8067655
2023-07-10,10 July 2023,institutional,buy,1,Seatrium,S51,75.1414356
2023-07-10,10 July 2023,institutional,buy,2,Wilmar International,F34,11.125873
2023-07-10,10 July 2023,institutional,buy,3,Mapletree Logistics Trust,M44U,11.063974
2023-07-10,10 July 2023,institutional,buy,4,UOL Group,U14,8.219311
2023-07-10,10 July 2023,institutional,buy,5,SIA,C6L,4.65921
2023-07-10,10 July 2023,institutional,buy,6,Yangzijiang Shipbuilding,BS6,4.127232
2023-07-10,10 July 2023,institutional,buy,7,CapitaLand Investment,9CI,3.863639
2023-07-10,10 July 2023,institutional,buy,8,ICP,5I4,3.763077197
2023-07-10,10 July 2023,institutional,buy,9,ST Engineering,S63,3.594614
2023-07-10,10 July 2023,institutional,buy,10,Keppel DC REIT,AJBU,2.99018
2023-07-10,10 July 2023,institutional,sell,1,UOB,U11,-61.374272
2023-07-10,10 July 2023,institutional,sell,2,OCBC,O39,-40.559669
2023-07-10,10 July 2023,institutional,sell,3,Mapletree Panasia Commercial Trust,N2IU,-4.995837
2023-07-10,10 July 2023,institutional,sell,4,Genting Singapore,G13,-4.6018015
2023-07-10,10 July 2023,institutional,sell,5,Nanofilm Technologies International,MZH,-4.167801
2023-07-10,10 July 2023,institutional,sell,6,Keppel Corporation,BN4,-4.069271
2023-07-10,10 July 2023,institutional,sell,7,Singtel,Z74,-3.918798200000001
2023-07-10,10 July 2023,institutional,sell,8,Golden Agri-Resources,E5H,-3.5523375
2023-07-10,10 July 2023,institutional,sell,9,Parkwaylife REIT,C2PU,-3.162001
2023-07-10,10 July 2023,institutional,sell,10,Suntec REIT,T82U,-2.409969
2023-07-10,10 July 2023,retail,buy,1,UOB,U11,16.040793
2023-07-10,10 July 2023,retail,buy,2,Hongkong Land,H78,4.0486948443
2023-07-10,10 July 2023,retail,buy,3,Nanofilm Technologies International,MZH,3.141478
